[Header]
2.26667	1082
2.26833	1083
2.27000	1082
2.27167	1082
2.27333	1083
2.27500	1082
2.27667	1083
2.27833	1082
2.28000	1083
2.28167	1083
2.28333	1083
2.28500	1083
2.28667	1083
2.28833	1083
2.29000	1083
2.29167	1084
2.29333	1083
2.29500	1083
2.29667	1083
2.29833	1083
2.30000	1083
2.30167	1083
2.30333	1082
2.30500	1083
2.30667	1082
2.30833	1083
2.31000	1082
2.31167	1082
2.31333	1082
2.31500	1082
2.31667	1082
2.31833	1082
2.32000	1082
2.32167	1082
2.32333	1082
2.32500	1082
2.32667	1081
2.32833	1082
2.33000	1082
2.33167	1083
2.33333	1082
2.33500	1083
2.33667	1083
2.33833	1083
2.34000	1084
2.34167	1084
2.34333	1084
2.34500	1084
2.34667	1084
2.34833	1084
2.35000	1085
2.35167	1084
2.35333	1085
2.35500	1085
2.35667	1085
2.35833	1085
2.36000	1084
2.36167	1085
2.36333	1085
2.36500	1085
2.36667	1085
2.36833	1084
2.37000	1085
2.37167	1085
2.37333	1085
2.37500	1084
2.37667	1085
2.37833	1085
2.38000	1084
2.38167	1085
2.38333	1084
2.38500	1084
2.38667	1084
2.38833	1084
2.39000	1084
2.39167	1083
2.39333	1083
2.39500	1083
2.39667	1083
2.39833	1083
2.40000	1082
2.40167	1083
2.40333	1082
2.40500	1082
2.40667	1082
2.40833	1081
2.41000	1081
2.41167	1081
2.41333	1081
2.41500	1080
2.41667	1081
2.41833	1080
2.42000	1080
2.42167	1079
2.42333	1080
2.42500	1079
2.42667	1080
2.42833	1079
2.43000	1079
2.43167	1079
2.43333	1079
2.43500	1079
2.43667	1080
2.43833	1079
2.44000	1078
2.44167	1079
2.44333	1079
2.44500	1078
2.44667	1079
2.44833	1079
2.45000	1079
2.45167	1079
2.45333	1079
2.45500	1079
2.45667	1079
2.45833	1079
2.46000	1079
2.46167	1079
2.46333	1079
2.46500	1079
2.46667	1080
2.46833	1079
2.47000	1079
2.47167	1080
2.47333	1079
2.47500	1080
2.47667	1080
2.47833	1079
2.48000	1080
2.48167	1081
2.48333	1080
2.48500	1080
2.48667	1080
2.48833	1081
2.49000	1080
2.49167	1081
2.49333	1081
2.49500	1081
2.49667	1080
2.49833	1081
2.50000	1081
2.50167	1081
2.50333	1081
2.50500	1081
2.50667	1081
2.50833	1081
2.51000	1081
2.51167	1081
2.51333	1081
2.51500	1080
2.51667	1081
2.51833	1081
2.52000	1081
2.52167	1081
2.52333	1082
2.52500	1081
2.52667	1082
2.52833	1081
2.53000	1082
2.53167	1082
2.53333	1082
2.53500	1082
2.53667	1083
2.53833	1082
2.54000	1083
2.54167	1082
2.54333	1083
2.54500	1083
2.54667	1083
2.54833	1083
2.55000	1083
2.55167	1083
2.55333	1084
2.55500	1083
2.55667	1084
2.55833	1084
2.56000	1083
2.56167	1084
2.56333	1084
2.56500	1084
2.56667	1083
2.56833	1083
2.57000	1083
2.57167	1083
2.57333	1083
2.57500	1083
2.57667	1083
2.57833	1082
2.58000	1082
2.58167	1082
2.58333	1082
2.58500	1082
2.58667	1081
2.58833	1082
2.59000	1081
2.59167	1081
2.59333	1082
2.59500	1081
2.59667	1080
2.59833	1081
2.60000	1081
2.60167	1081
2.60333	1080
2.60500	1081
2.60667	1080
2.60833	1081
2.61000	1080
2.61167	1081
2.61333	1080
2.61500	1080
2.61667	1081
2.61833	1080
2.62000	1081
2.62167	1080
2.62333	1081
2.62500	1081
2.62667	1081
2.62833	1080
2.63000	1081
2.63167	1081
2.63333	1080
2.63500	1081
2.63667	1081
2.63833	1081
2.64000	1080
2.64167	1081
2.64333	1081
2.64500	1081
2.64667	1081
2.64833	1081
2.65000	1080
2.65167	1081
2.65333	1081
2.65500	1080
2.65667	1080
2.65833	1080
2.66000	1080
2.66167	1080
2.66333	1079
2.66500	1080
2.66667	1080
2.66833	1079
2.67000	1079
2.67167	1079
2.67333	1079
2.67500	1079
2.67667	1078
2.67833	1078
2.68000	1079
2.68167	1078
2.68333	1078
2.68500	1078
2.68667	1078
2.68833	1077
2.69000	1078
2.69167	1078
2.69333	1078
2.69500	1078
2.69667	1078
2.69833	1078
2.70000	1078
2.70167	1078
2.70333	1078
2.70500	1079
2.70667	1078
2.70833	1079
2.71000	1078
2.71167	1079
2.71333	1078
2.71500	1079
2.71667	1078
2.71833	1079
2.72000	1078
2.72167	1079
2.72333	1078
2.72500	1079
2.72667	1078
2.72833	1079
2.73000	1079
2.73167	1079
2.73333	1079
2.73500	1079
